model,conf,image,gt,pred,tp,fp,fn,duplicates
retrained_best,0.35,img_000143_jpg.rf.mJ0Y2lOljhEMDbmHE8a2.jpg,1,1,1,0,0,0
retrained_best,0.35,img_000175_jpg.rf.53mF12NwQJbravuPKSbP.jpg,2,2,1,1,1,0
retrained_best,0.35,img_000175_jpg.rf.5ZDNHHPGGiquLMeAomdO.jpg,2,2,2,0,0,0
retrained_best,0.35,img_000215_jpg.rf.yhq9d6p7jJl3P470wGOO.jpg,1,1,1,0,0,0
retrained_best,0.35,img_000215_jpg.rf.zZ7TEWLDXdhbOno51d3U.jpg,2,3,2,1,0,1
retrained_best,0.35,img_000217_jpg.rf.bTEYWROwTJrs7WErSnRO.jpg,1,1,1,0,0,0
retrained_best,0.35,img_000217_jpg.rf.TQTUx1uuQbNevjShJRGo.jpg,2,2,2,0,0,0
retrained_best,0.35,img_000230_jpg.rf.daFVv4n5bCf5ey7Wwe4i.jpg,1,1,1,0,0,0
retrained_best,0.35,img_000259_jpg.rf.6QAqIuCPNEzt31XLxi4D.jpg,2,2,1,1,1,0
retrained_best,0.35,img_000280_jpg.rf.hwHwEi23HGuTqMBLg6ix.jpg,2,2,2,0,0,0
retrained_best,0.35,img_000288_jpg.rf.RvKxFn1DxdPZyeRNwOUA.jpg,1,0,0,0,1,0
retrained_best,0.35,img_000301_jpg.rf.LHAwjqrlVEc6P1C8L2Ns.jpg,3,2,2,0,1,0
retrained_best,0.35,img_000302_jpg.rf.TIw3cXudwhMsnPvumTTn.jpg,3,4,2,2,1,2
retrained_best,0.35,img_000303_jpg.rf.injjvONGbUvfRSVLN2FQ.jpg,3,1,0,1,3,0
retrained_best,0.35,img_000309_jpg.rf.ugIUROvaA4MTIbIuKUkY.jpg,2,2,2,0,0,0
retrained_best,0.35,img_000317_jpg.rf.JrRjWxzarJ8ZGPZ0XOEt.jpg,1,1,1,0,0,0
retrained_best,0.35,img_000320_jpg.rf.j3QVAMiARXWpCuPPcVna.jpg,0,0,0,0,0,0
retrained_best,0.35,img_000328_jpg.rf.gzRTTkPffDrowAr3TcU1.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000004_jpg.rf.KdDjMNys3mgzdwci5q4t.jpg,0,0,0,0,0,0
retrained_best,0.5,img_000004_jpg.rf.Y4bUHj6lYM5SsJlYP13k.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000013_jpg.rf.Ev2rPwU3OJJq0m3wuCMB.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000013_jpg.rf.OIhiSG8wJCpXe9dYwIT4.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000014_jpg.rf.A6B7sRgS7KJCKvkgGEh3.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000014_jpg.rf.vh81GS25VLEdIUyNi0zr.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000016_jpg.rf.hVRVU5TNvKsTNZR2mvWG.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000016_jpg.rf.tXIuCEhPxwpK8Nqhwilh.jpg,1,2,1,1,0,0
retrained_best,0.5,img_000017_jpg.rf.0ZCKnS4BfPEUDxXOGYwe.jpg,1,2,1,1,0,0
retrained_best,0.5,img_000017_jpg.rf.dwbnjdGKDAiYTfoAUypW.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000045_jpg.rf.90BtKx7DXTqk2foDBrrG.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000045_jpg.rf.RwCUecyg6if5uJBlfU17.jpg,2,1,1,0,1,0
retrained_best,0.5,img_000048_jpg.rf.iGKcIZhtPFWc3Lx4kOWI.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000048_jpg.rf.OMQszdIOQf8gKTFfZfVC.jpg,2,2,1,1,1,0
retrained_best,0.5,img_000053_jpg.rf.8Hl7tY8TkZ9UvGEPphGP.jpg,3,0,0,0,3,0
retrained_best,0.5,img_000053_jpg.rf.CqgMvRt9J0olZp9ovt3U.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000058_jpg.rf.IfxOwEj7f9ScBdMsSEt8.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000058_jpg.rf.tOuOAB22F00CwiD0D1vH.jpg,3,1,1,0,2,0
retrained_best,0.5,img_000072_jpg.rf.N8VkgHbSwQKQ6Tpatsmq.jpg,1,0,0,0,1,0
retrained_best,0.5,img_000072_jpg.rf.oayCtETN5JunGeAhplLc.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000080_jpg.rf.K1rMOvyedmqSxGzP7zCx.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000080_jpg.rf.Q6hsP2K4ytOdTXvBUBx8.jpg,3,1,1,0,2,0
retrained_best,0.5,img_000082_jpg.rf.Auc1DKOMN5cWIKRahdsr.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000082_jpg.rf.uFrJXHIlAcl8roQt0wAz.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000102_jpg.rf.q0Q5kxP5FsGoZpADYSA7.jpg,2,1,1,0,1,0
retrained_best,0.5,img_000102_jpg.rf.vg19254AwrQVRmAHHjBK.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000112_jpg.rf.8lVIuEu2bZM1yV6yAERe.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000112_jpg.rf.eoxNxUCPydCuIqGRFbkA.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000113_jpg.rf.LCKqnPCY8JANA6t4soWG.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000113_jpg.rf.SGnfPHqU3VYktQEAAak7.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000115_jpg.rf.3R0YpmAc2lCXRzUoiCdW.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000115_jpg.rf.rqZf9UgWSYUYdPqxEndv.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000120_jpg.rf.N5qPwr5v13YsNHmkZRxY.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000120_jpg.rf.URyy2nFRTEX9TbznZsey.jpg,2,2,1,1,1,0
retrained_best,0.5,img_000126_jpg.rf.biaYHuiY7pNZ740uQx8m.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000126_jpg.rf.CYJz92eUVXA6HlMehReB.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000141_jpg.rf.LhwZlqMDXOnpSjfezLkr.jpg,1,0,0,0,1,0
retrained_best,0.5,img_000141_jpg.rf.yNvXMzbGS0qwAJLZlV0l.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000143_jpg.rf.hIt8en8bAxdDCk62bDEv.jpg,2,2,2,0,0,0
retrained_best,0.5,img_000143_jpg.rf.mJ0Y2lOljhEMDbmHE8a2.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000175_jpg.rf.53mF12NwQJbravuPKSbP.jpg,2,1,1,0,1,0
retrained_best,0.5,img_000175_jpg.rf.5ZDNHHPGGiquLMeAomdO.jpg,2,2,2,0,0,0
retrained_best,0.5,img_000215_jpg.rf.yhq9d6p7jJl3P470wGOO.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000215_jpg.rf.zZ7TEWLDXdhbOno51d3U.jpg,2,2,2,0,0,0
retrained_best,0.5,img_000217_jpg.rf.bTEYWROwTJrs7WErSnRO.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000217_jpg.rf.TQTUx1uuQbNevjShJRGo.jpg,2,2,2,0,0,0
retrained_best,0.5,img_000230_jpg.rf.daFVv4n5bCf5ey7Wwe4i.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000259_jpg.rf.6QAqIuCPNEzt31XLxi4D.jpg,2,2,1,1,1,0
retrained_best,0.5,img_000280_jpg.rf.hwHwEi23HGuTqMBLg6ix.jpg,2,2,2,0,0,0
retrained_best,0.5,img_000288_jpg.rf.RvKxFn1DxdPZyeRNwOUA.jpg,1,0,0,0,1,0
retrained_best,0.5,img_000301_jpg.rf.LHAwjqrlVEc6P1C8L2Ns.jpg,3,2,2,0,1,0
retrained_best,0.5,img_000302_jpg.rf.TIw3cXudwhMsnPvumTTn.jpg,3,2,2,0,1,0
retrained_best,0.5,img_000303_jpg.rf.injjvONGbUvfRSVLN2FQ.jpg,3,1,0,1,3,0
retrained_best,0.5,img_000309_jpg.rf.ugIUROvaA4MTIbIuKUkY.jpg,2,2,2,0,0,0
retrained_best,0.5,img_000317_jpg.rf.JrRjWxzarJ8ZGPZ0XOEt.jpg,1,1,1,0,0,0
retrained_best,0.5,img_000320_jpg.rf.j3QVAMiARXWpCuPPcVna.jpg,0,0,0,0,0,0
retrained_best,0.5,img_000328_jpg.rf.gzRTTkPffDrowAr3TcU1.jpg,1,1,1,0,0,0
